"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"org/jfree/data/KeyedObjects2D.<init>:()V","1","0","0","0","0","32","13","118.41407098051495","6.0","710.4844258830897","0.039471356993504986","0","3","0","18","14","","","<init>","","","public","5"
"org/jfree/data/KeyedObjects2D.getRowCount:()I","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","size","","","public","1"
"org/jfree/data/KeyedObjects2D.getColumnCount:()I","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","size","","","public","1"
"org/jfree/data/KeyedObjects2D.getObject:(II)Ljava/lang/Object;","4","2","6","3","0","55","26","258.5241844977601","6.0","1551.1451069865604","0.08617472816592002","0","2","0","30","25","KeyedObjects Object Comparable","","getObject getIndex get","","","public","9"
"org/jfree/data/KeyedObjects2D.getRowKey:(I)Ljava/lang/Comparable;","1","1","1","0","0","11","11","38.053747805010275","3.0","114.16124341503082","0.012684582601670092","0","1","0","6","5","","","get","","","public","1"
"org/jfree/data/KeyedObjects2D.getRowIndex:(Ljava/lang/Comparable;)I","1","1","1","1","0","19","16","76.0","4.0","304.0","0.025333333333333333","0","1","0","11","8","Comparable","","<init> indexOf","","IllegalArgumentException","public","3"
"org/jfree/data/KeyedObjects2D.getRowKeys:()Ljava/util/List;","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","unmodifiableList","","","public","1"
"org/jfree/data/KeyedObjects2D.getColumnKey:(I)Ljava/lang/Comparable;","1","1","1","0","0","11","11","38.053747805010275","3.0","114.16124341503082","0.012684582601670092","0","1","0","6","5","","","get","","","public","1"
"org/jfree/data/KeyedObjects2D.getColumnIndex:(Ljava/lang/Comparable;)I","1","1","1","1","0","19","16","76.0","4.0","304.0","0.025333333333333333","0","1","0","11","8","Comparable","","<init> indexOf","","IllegalArgumentException","public","3"
"org/jfree/data/KeyedObjects2D.getColumnKeys:()Ljava/util/List;","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","unmodifiableList","","","public","1"
"org/jfree/data/KeyedObjects2D.getObject:(Ljava/lang/Comparable;Ljava/lang/Comparable;)Ljava/lang/Object;","1","2","6","3","0","124","45","680.9897839448797","16.0","10895.836543118075","0.22699659464829325","0","7","0","68","56","KeyedObjects Comparable","","getObject getIndex get toString <init> indexOf append","","UnknownKeyException IllegalArgumentException ","public","15"
"org/jfree/data/KeyedObjects2D.addObject:(Ljava/lang/Object;Ljava/lang/Comparable;Ljava/lang/Comparable;)V","1","3","3","3","0","11","8","33.0","1.0","33.0","0.011","0","0","0","6","5","Object Comparable","setObject","","","","public","2"
"org/jfree/data/KeyedObjects2D.setObject:(Ljava/lang/Object;Ljava/lang/Comparable;Ljava/lang/Comparable;)V","3","3","7","5","0","102","38","535.2886063712457","18.0","9635.194914682423","0.1784295354570819","0","4","0","57","45","KeyedObjects Object Comparable","","add get <init> indexOf setObject","","IllegalArgumentException","public","15"
"org/jfree/data/KeyedObjects2D.removeObject:(Ljava/lang/Comparable;Ljava/lang/Comparable;)V","10","2","14","3","0","261","57","1522.3842936969977","36.0","54805.83457309192","0.5074614312323326","0","7","3","144","117","KeyedObjects Comparable","getRowIndex getColumnIndex setObject","getObject size getIndex removeValue get getItemCount toString <init> append remove","","UnknownKeyException","public","34"
"org/jfree/data/KeyedObjects2D.removeRow:(I)V","1","1","1","0","0","19","11","65.72920075410866","3.0","197.18760226232598","0.021909733584702887","0","0","0","11","8","","","remove","","","public","3"
"org/jfree/data/KeyedObjects2D.removeRow:(Ljava/lang/Comparable;)V","1","1","2","1","0","41","23","185.46604019833754","5.0","927.3302009916877","0.061822013399445847","0","2","0","22","19","Comparable","getRowIndex removeRow","toString <init> append","","UnknownKeyException","public","5"
"org/jfree/data/KeyedObjects2D.removeColumn:(I)V","1","1","2","1","0","15","10","49.82892142331044","2.0","99.65784284662088","0.016609640474436815","0","0","0","8","7","Comparable","removeColumn getColumnKey","","","","public","3"
"org/jfree/data/KeyedObjects2D.removeColumn:(Ljava/lang/Comparable;)V","3","1","5","3","0","83","42","447.56234609063716","9.0","4028.0611148157345","0.14918744869687905","0","3","1","45","38","KeyedObjects Comparable Iterator","getColumnIndex","next iterator getIndex removeValue toString hasNext <init> append remove","","UnknownKeyException","public","12"
"org/jfree/data/KeyedObjects2D.clear:()V","1","0","0","0","0","19","9","60.22857502740394","2.0","120.45715005480788","0.020076191675801314","0","0","0","10","9","","","clear","","","public","4"
"org/jfree/data/KeyedObjects2D.equals:(Ljava/lang/Object;)Z","4","1","8","4","0","139","36","718.6195752004813","27.0","19402.728530412995","0.23953985840016045","0","2","2","85","54","KeyedObjects2D Object","getObject getRowCount getRowKeys getColumnCount getColumnKeys","equals","","","public","27"
"org/jfree/data/KeyedObjects2D.hashCode:()I","1","0","1","0","0","39","16","156.0","8.0","1248.0","0.052","0","0","0","22","17","","","hashCode","","","public","4"
"org/jfree/data/KeyedObjects2D.clone:()Ljava/lang/Object;","2","0","3","3","0","85","32","425.0","14.0","5950.0","0.14166666666666666","0","5","1","46","39","KeyedObjects2D KeyedObjects Iterator","","next add iterator size clone hasNext <init>","CloneNotSupportedException","","public","10"
"org/jfree/data/Value.getValue:()Ljava/lang/Number;","2","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/jfree/data/Values2D.getRowCount:()I","2","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/jfree/data/Values2D.getColumnCount:()I","2","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/jfree/data/Values2D.getValue:(II)Ljava/lang/Number;","2","2","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/jfree/data/ComparableObjectSeries.<init>:(Ljava/lang/Comparable;)V","1","1","1","1","0","9","7","25.26619429851844","2.0","50.53238859703688","0.008422064766172813","0","0","0","6","3","Comparable","<init>","","","","public","2"
"org/jfree/data/ComparableObjectSeries.<init>:(Ljava/lang/Comparable;ZZ)V","1","3","3","1","0","33","19","140.1816079436383","3.0","420.54482383091494","0.04672720264787944","0","1","0","17","16","Comparable","","<init>","","","public","6"
"org/jfree/data/ComparableObjectSeries.getAutoSort:()Z","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/ComparableObjectSeries.getAllowDuplicateXValues:()Z","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/ComparableObjectSeries.getItemCount:()I","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","size","","","public","1"
"org/jfree/data/ComparableObjectSeries.getMaximumItemCount:()I","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/jfree/data/ComparableObjectSeries.setMaximumItemCount:(I)V","3","1","2","0","0","38","22","169.4584015082173","7.0","1186.208810557521","0.05648613383607243","0","0","1","23","15","","fireSeriesChanged","size remove","","","public","8"
"org/jfree/data/ComparableObjectSeries.add:(Ljava/lang/Comparable;Ljava/lang/Object;)V","1","2","2","2","0","10","8","30.0","2.0","60.0","0.01","0","0","0","6","4","Object Comparable","add","","","","protected","2"
"org/jfree/data/ComparableObjectSeries.add:(Ljava/lang/Comparable;Ljava/lang/Object;Z)V","1","3","4","3","0","20","16","80.0","4.0","320.0","0.02666666666666667","0","1","0","11","9","Object ComparableObjectItem Comparable","add","<init>","","","protected","3"
"org/jfree/data/ComparableObjectSeries.add:(Lorg/jfree/data/ComparableObjectItem;Z)V","9","2","5","1","1","174","51","987.0020095030403","26.0","25662.05224707905","0.3290006698343468","1","3","1","100","74","ComparableObjectItem","getItemCount fireSeriesChanged indexOf","add size get getComparable binarySearch compareTo <init> remove","","SeriesException IllegalArgumentException ","protected","26"
"org/jfree/data/ComparableObjectSeries.indexOf:(Ljava/lang/Comparable;)I","2","1","3","2","0","62","33","312.7524354002241","20.0","6255.048708004482","0.1042508118000747","0","2","1","36","26","ComparableObjectItem Comparable","","size get getComparable equals binarySearch <init>","","","public","8"
