System,Package,Class,Name, COMP, NOCL, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOC, NOA, MOD, HDIF, VDEC, EXCT, EXCR, CAST, TDN, HVOL, NAND, VREF, NOPR, MDN, NEXP, LOOP
"","org.apache.commons.lang3.reflect","AClass","AClass",1,0,2,15,13,266.43,0.02,2,1,0,3,0,1,1,4.80,0,0,0,0,0,55.51,6,1,9,0,1,0
"","org.apache.commons.lang3.text.translate","EntityArrays","APOS_ESCAPE",1,4,2,14,11,258.30,0.02,1,1,0,1,1,0,2,5.33,0,0,0,0,0,48.43,4,1,10,0,1,0
"","org.apache.commons.lang3.text.translate","EntityArrays","APOS_UNESCAPE",1,4,2,14,11,258.30,0.02,1,1,0,1,1,0,2,5.33,0,0,0,0,0,48.43,4,1,10,0,1,0
"","org.apache.commons.lang3.text.translate","AggregateTranslator","AggregateTranslator",1,5,2,18,14,365.51,0.02,2,1,0,3,1,1,1,5.33,0,0,0,0,0,68.53,8,2,10,0,2,0
"","org.apache.commons.lang3.builder","HashCodeBuilderAndEqualsBuilderTest$AllTransientFixture","AllTransientFixture",1,0,5,39,16,982.80,0.05,1,0,0,6,0,4,0,6.30,0,0,0,0,0,156.00,21,8,18,0,4,0
"","org.apache.commons.lang3","AnnotationUtils","AnnotationUtils",1,7,1,4,4,12.00,0.00,0,0,0,2,1,0,1,1.50,0,0,0,0,0,8.00,1,0,3,0,0,0
"","org.apache.commons.lang3","ArrayUtils","ArrayUtils",1,7,2,7,6,36.19,0.01,0,0,0,3,1,0,1,2.00,0,0,0,0,0,18.09,2,0,5,0,1,0
"","org.apache.commons.lang3.text.translate","EntityArrays","BASIC_ESCAPE",1,6,2,14,11,258.30,0.02,1,1,0,1,1,0,2,5.33,0,0,0,0,0,48.43,4,1,10,0,1,0
"","org.apache.commons.lang3.text.translate","EntityArrays","BASIC_UNESCAPE",1,4,2,14,11,258.30,0.02,1,1,0,1,1,0,2,5.33,0,0,0,0,0,48.43,4,1,10,0,1,0
"","org.apache.commons.lang3.concurrent","BackgroundInitializer","BackgroundInitializer",1,4,2,8,7,44.92,0.01,0,0,1,3,2,0,1,2.00,0,0,0,0,0,22.46,3,0,5,0,1,0
