BugID Ranks
1 4
2 2
3 6,17
4 10
5 7
6 1,2
7 1
8 7
9 1
10 36
11 47
12 179
13 294
14 
15 2
16 2,10,16
17 3
18 418
19 1
20 1
21 2
22 1
23 1
24 1
25 5
26 5,8
27 1,5
28 
29 10
30 10,82,99,102
31 297
32 5
33 13
34 1
35 1
36 26
37 84,199
38 1
39 1
40 4
41 12,67
42 9
43 41,42
44 28
45 11
46 1
47 13
48 4
49 344,396,512
50 1
51 9
52 3
53 3
54 1,563,845
55 50
56 2
57 2
58 1
59 82
60 1
61 10
62 1
63 1
64 259,1078
65 1
66 2
67 43
68 2,3,6
69 14
70 48
71 1
72 112
73 1
74 1
75 9
76 1,2
77 1
78 1
79 55,419
80 1,35
81 3
82 347
83 3
84 52
85 3,4
86 2
87 8
88 2
89 24,178
90 1,142
91 3
92 5
93 5
94 1
95 5
96 5
97 1
98 72,97
99 1
100 1,2
101 75
102 847
103 13,71
104 1
105 1
106 11,123
107 6
108 1,4,20
109 11
110 1
111 1
112 13
113 2
114 16
115 1
116 1
117 6
118 2
119 7
120 34
121 2
122 2
123 1
124 2
125 33
126 1
127 4
128 3
129 372
130 9
131 7
132 2
133 91
