BugID Ranks
1 3
2 70
3 5,7
4 1
5 6
6 1,2
7 4
8 3
9 2
10 1
11 1
12 16
13 1
14 
15 1
16 2,24,70
17 2
18 2
19 1
20 2
21 1
22 1
23 1
24 1
25 10
26 2,14
27 2,7
28 
29 7
30 13,40,52,79
31 3
32 1
33 1
34 1
35 1
36 17
37 8,211
38 1
39 1
40 1
41 88,92
42 4
43 93,99
44 19
45 1
46 1
47 2
48 1
49 445,454,567
50 2
51 1
52 1
53 27
54 17,272,325
55 11
56 1
57 2
58 1
59 24
60 3
61 12
62 1
63 1
64 20,48
65 1
66 2
67 12
68 2,5,22
69 5
70 1
71 1
72 38
73 1
74 1
75 6
76 1,3
77 1
78 1
79 14,67
80 1,60
81 7
82 249
83 2
84 125
85 1,6
86 1
87 14
88 1
89 1,101
90 2,9
91 3
92 1
93 1
94 1
95 35
96 2
97 2
98 14,20
99 1
100 1,3
101 2
102 20
103 2,69
104 1
105 2
106 3,10
107 1
108 1,5,239
109 6
110 1
111 29
112 11
113 2
114 3
115 1
116 1
117 1
118 1
119 7
120 15
121 5
122 2
123 1
124 1
125 1
126 1
127 1
128 53
129 28
130 10
131 6
132 8
133 82
