BugID Ranks
1 12
2 17
3 21,22
4 282
5 16
6 2,3
7 4
8 15
9 3
10 8
11 1
12 29
13 11
15 8
16 6,23,24
17 3
18 7
19 4
20 5
21 2
22 2
23 4
24 1
25 16
26 6,19
27 4,7
29 25
30 38,50,66,97
31 14
32 2
33 3
34 4
35 1
36 65
37 7,111
38 1
39 1
40 2
41 43,55
42 5
43 95,110
44 21
45 7
46 3
47 2
48 1
49 31,33,37
50 8
51 1
52 3
53 16
54 5,25,80
55 28
56 3
57 2
58 2
59 4
60 20
61 38
62 1
63 1
64 6,25
65 1
66 5
67 30
68 6,11,222
69 38
70 1
71 2
72 60
73 1
74 1
75 23
76 14,14
77 1
78 2
79 6,39
80 5,6
81 5
82 40
83 3
84 12
85 1,35
86 1
87 22
88 7
89 11,20
90 3,4
91 3
92 14
93 13
94 2
95 43
96 5
97 9
98 36,51
99 3
100 4,5
101 23
102 269
103 14,87
104 1
105 5
106 39,48
107 4
108 2,8,781
109 5
110 1
111 490
112 30
113 2
114 35
115 3
116 24
117 1
118 6
119 11
120 43
121 19
122 2
123 3
124 11
125 2
126 3
127 9
128 295
129 137
130 30
131 16
132 16
133 39
