BugID Ranks
1 18
2 1
3 70,99
4 48
5 20
6 6,13
7 3
8 30
9 5
10 20
11 95
12 109
13 884
14 
15 3
16 3,3,3
17 244
18 620
19 58
20 19
21 24
22 24
23 1
24 11
25 30
26 11,11
27 2,4
28 
29 16
30 42,47,57,88
31 535
32 6
33 45
34 18
35 88
36 556
37 228,230
38 10
39 12
40 77
41 273,273
42 1
43 368,368
44 40
45 36
46 1
47 15
48 157
49 464,464,464
50 7
51 8
52 5
53 1
54 71,1065,1065
55 35
56 1
57 2
58 15
59 1880
60 1
61 36
62 7
63 7
64 385,1056
65 3
66 39
67 48
68 4,16,31
69 6
70 107
71 7
72 23
73 4
74 1
75 5
76 2,3
77 4
78 14
79 17,434
80 22,51
81 8
82 201
83 2
84 11
85 1,15
86 2
87 12
88 1
89 23,298
90 7,431
91 8
92 54
93 54
94 1
95 133
96 19
97 1
98 38,72
99 4
100 1,4
101 187
102 727
103 4,92
104 1
105 3
106 5,120
107 181
108 30,63,63
109 3
110 12
111 1
112 51
113 2
114 20
115 4
116 2
117 18
118 2
119 63
120 37
121 30
122 1
123 118
124 1
125 28
126 16
127 32
128 6
129 1033
130 53
131 23
132 21
133 32
