BugID Ranks
1 18
2 1
3 70,99
4 54
5 20
6 69,91
7 3
8 30
9 5
10 20
11 107
12 109
13 884
15 3
16 3,3,3
17 244
18 620
19 58
20 19
21 24
22 24
23 1
24 11
25 30
26 11,11
27 2,4
29 21
30 63,68,78,109
31 535
32 6
33 45
34 18
35 88
36 556
37 228,230
38 10
39 13
40 101
41 274,274
42 1
43 395,395
44 40
45 36
46 1
47 15
48 157
49 286,286,286
50 9
51 8
52 5
53 1
54 140,1041,1041
55 35
56 12
57 2
58 15
59 1880
60 144
61 36
62 7
63 7
64 385,1056
65 3
66 61
67 48
68 4,16,31
69 30
70 154
71 7
72 23
73 4
74 2
75 5
76 2,3
77 4
78 14
79 10,467
80 3,29
81 8
82 207
83 2
84 11
85 1,19
86 3
87 12
88 1
89 24,37
90 7,436
91 8
92 54
93 54
94 1
95 146
96 19
97 1
98 38,72
99 5
100 1,5
101 187
102 727
103 47,136
104 1
105 3
106 5,46
107 181
108 30,63,63
109 3
110 12
111 1
112 65
113 2
114 20
115 26
116 3
117 18
118 2
119 63
120 37
121 30
122 1
123 118
124 1
125 28
126 19
127 35
128 6
129 1033
130 53
131 25
132 21
133 32
