BugID Ranks
1 3
2 76
3 4,7
4 1
5 6
6 1,2
7 4
8 3
9 2
10 1
11 1
12 15
13 3
14 
15 1
16 2,20,68
17 2
18 4
19 1
20 2
21 1
22 1
23 1
24 1
25 12
26 2,11
27 3,7
28 
29 8
30 12,36,47,79
31 5
32 1
33 2
34 2
35 1
36 19
37 8,234
38 1
39 1
40 2
41 93,99
42 4
43 92,100
44 19
45 1
46 1
47 2
48 1
49 451,465,578
50 2
51 1
52 1
53 29
54 22,276,330
55 11
56 1
57 2
58 1
59 19
60 4
61 12
62 1
63 1
64 14,48
65 1
66 2
67 11
68 2,5,25
69 5
70 1
71 1
72 28
73 1
74 1
75 5
76 1,4
77 1
78 1
79 13,66
80 1,59
81 7
82 237
83 3
84 123
85 1,5
86 1
87 14
88 1
89 1,112
90 2,9
91 3
92 1
93 1
94 1
95 48
96 2
97 2
98 14,19
99 1
100 1,3
101 2
102 19
103 2,68
104 1
105 2
106 3,9
107 1
108 2,5,240
109 6
110 1
111 29
112 11
113 2
114 3
115 1
116 1
117 1
118 1
119 8
120 14
121 5
122 2
123 2
124 1
125 1
126 1
127 2
128 56
129 23
130 10
131 6
132 8
133 82
