BugID Ranks
1 2,3
2 5
3 1
4 9,10
5 1
6 2,4,7,9,17,87,386
7 5
8 1
9 2
10 3
11 4
12 
13 38
14 24
15 1
16 2
17 19
18 11,11
19 5
20 51
21 1
22 2,2
23 1
24 1
25 1
26 1
27 1
28 2
29 31,41
30 2
31 25
32 1
33 3
34 1
35 1
36 1,4
37 8,8
38 2
39 1
40 1
41 2
42 3
43 9
44 9
45 2
46 1
47 1,15
48 1
49 2
50 1
51 1
52 1
53 1
54 14
55 1
56 3
57 1
58 15
59 2
60 3
61 1
62 2
63 2
64 1
65 4,14
66 1,4
67 9
68 1,10
69 2
70 2
71 1,2
72 1
73 1
74 7
75 2
76 2
77 3,4
78 3
79 9
80 6
81 1
82 20
83 1,12
84 1
85 7
86 1
87 11
88 1
89 1
90 1
91 1
92 1
93 1,3
94 1
95 2
96 3
97 1
98 1,2
99 1,2
100 3
101 1
102 8
103 4
104 
105 3
106 1
