BugID Ranks
1 2,3
2 4
3 1
4 22,25
5 2
6 1,46,47,53,57,83,280
7 5
8 1
9 2
10 3
11 8
12 
13 8
14 7
15 4
16 7
17 16
18 61,62
19 1
20 81
21 1
22 2,2
23 1
24 1
25 1
26 2
27 1
28 1
29 19,24
30 5
31 18
32 10
33 3
34 1
35 3
36 2,4
37 3,4
38 2
39 1
40 1
41 3
42 5
43 2
44 4
45 3
46 1
47 11,16
48 1
49 1
50 1
51 1
52 1
53 1
54 7
55 1
56 1
57 1
58 2
59 2
60 2
61 1
62 4
63 2
64 1
65 4,11
66 1,23
67 12
68 1,8
69 1
70 3
71 2,8
72 1
73 5
74 4
75 1
76 2
77 3,4
78 1
79 11
80 5
81 1
82 2
83 2,14
84 1
85 5
86 2
87 14
88 1
89 1
90 1
91 1
92 1
93 1,2
94 1
95 3
96 1
97 1
98 1,3
99 1,2
100 1
101 1
102 6
103 4
104 
105 3
106 1
