BugID Ranks
1 8,8
2 12
3 1
4 12,17
5 2
6 10,83,109,166,192,212,246
7 3
8 2
9 1
10 2
11 39
13 24
14 10
15 1
16 2
17 15
18 84,84
19 4
20 97
21 1
22 2,2
23 7
24 4
25 5
26 1
27 1
28 5
29 3,4
30 6
31 25
32 35
33 6
34 2
35 4
36 1,4
37 3,3
38 3
39 3
40 8
41 2
42 10
43 4
44 47
45 8
46 1
47 6,11
48 4
49 10
50 3
51 9
52 4
53 2
54 3
55 1
56 9
57 2
58 20
59 2
60 5
61 2
62 5
63 2
64 4
65 3,11
66 1,13
67 12
68 4,10
69 5
70 1
71 10,10
72 2
73 13
74 6
75 3
76 12
77 6,6
78 4
79 9
80 7
81 5
82 2
83 1,15
84 1
85 4
86 2
87 34
88 4
89 2
90 1
91 1
92 1
93 1,3
94 1
95 4
96 3
97 1
98 2,2
99 2,2
100 4
101 1
102 2
103 4
105 3
106 2
