BugID Ranks
1 8,13
2 5
3 1
4 14,14
5 2
6 30,71,211,238,285,325,360
7 58
8 3
9 2
10 2
11 3
12 
13 34
14 29
15 18
16 1
17 4
18 44,44
19 31
20 43
21 2
22 2,2
23 21
24 20
25 4
26 6
27 1
28 10
29 1,34
30 3
31 52
32 29
33 12
34 1
35 1
36 1,4
37 5,5
38 6
39 11
40 10
41 3
42 2
43 21
44 55
45 1
46 3
47 3,15
48 13
49 1
50 5
51 13
52 3
53 1
54 8
55 1
56 7
57 9
58 12
59 2
60 1
61 2
62 6
63 2
64 8
65 3,9
66 18,18
67 16
68 12,12
69 1
70 2
71 60,63
72 1
73 1
74 59
75 4
76 4
77 12,12
78 10
79 9
80 18
81 12
82 20
83 5,32
84 3
85 14
86 2
87 30
88 3
89 1
90 1
91 1
92 3
93 1,3
94 1
95 3
96 3
97 3
98 2,2
99 1,3
100 3
101 6
102 13
103 3
104 
105 3
106 7
