BugID Ranks
1 5,13
2 5
3 1
4 3,3
5 2
6 34,99,141,237,256,322,360
7 58
8 2
9 1
10 2
11 3
13 34
14 29
15 18
16 1
17 4
18 44,44
19 31
20 43
21 2
22 2,2
23 21
24 20
25 4
26 6
27 1
28 10
29 1,7
30 3
31 30
32 29
33 12
34 1
35 1
36 1,4
37 3,3
38 6
39 11
40 10
41 3
42 2
43 5
44 55
45 1
46 3
47 3,12
48 13
49 1
50 5
51 13
52 3
53 1
54 8
55 1
56 11
57 9
58 12
59 2
60 1
61 2
62 6
63 2
64 8
65 1,9
66 16,16
67 6
68 12,12
69 2
70 1
71 60,63
72 1
73 1
74 59
75 2
76 4
77 5,5
78 10
79 9
80 18
81 12
82 20
83 5,32
84 3
85 14
86 2
87 30
88 3
89 1
90 1
91 1
92 3
93 1,3
94 1
95 3
96 3
97 3
98 2,2
99 1,2
100 4
101 6
102 9
103 3
105 3
106 7
