BugID Ranks
1 5,6
2 4
3 1
4 27,30
5 3
6 9,98,103,154,169,197,202
7 6
8 3
9 2
10 1
11 6
12 
13 7
14 5
15 2
16 8
17 18
18 16,16
19 2
20 79
21 1
22 2,2
23 6
24 1
25 4
26 1
27 1
28 3
29 3,5
30 5
31 9
32 12
33 3
34 1
35 3
36 3,4
37 5,5
38 3
39 2
40 4
41 3
42 9
43 2
44 34
45 1
46 1
47 6,13
48 1
49 7
50 1
51 6
52 1
53 1
54 6
55 1
56 8
57 1
58 14
59 2
60 2
61 1
62 5
63 2
64 1
65 3,8
66 1,35
67 17
68 4,10
69 4
70 2
71 4,20
72 1
73 7
74 6
75 5
76 9
77 3,5
78 1
79 8
80 2
81 1
82 2
83 1,14
84 1
85 5
86 2
87 26
88 1
89 2
90 1
91 1
92 1
93 1,3
94 1
95 2
96 1
97 1
98 2,2
99 1,2
100 3
101 1
102 7
103 4
104 
105 3
106 1
